Name,Url
Кинселла Софи,https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%84%D0%B8_%D0%9A%D0%B8%D0%BD%D1%81%D0%B5%D0%BB%D0%BB%D0%B0
Фламиньи Серджо,"https://ru.wikipedia.org/wiki/%D0%A4%D0%BB%D0%B0%D0%BC%D0%B8%D0%BD%D1%8C%D0%B8,_%D0%A1%D0%B5%D1%80%D0%B4%D0%B6%D0%BE"
Ассемоасса Людовик,"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%81%D0%B5%D0%BC%D0%BE%D0%B0%D1%81%D1%81%D0%B0,_%D0%9B%D1%8E%D0%B4%D0%BE%D0%B2%D0%B8%D0%BA"
Бест Дэвид,https://en.wikipedia.org/wiki/David_Best_(footballer)
Вирц Родольфо,https://es.wikipedia.org/wiki/Rodolfo_Wirz
Динс Джон,"https://ru.wikipedia.org/wiki/%D0%94%D0%B8%D0%BD%D1%81,_%D0%94%D0%B6%D0%BE%D0%BD"
Ким Чжи-ми,https://en.wikipedia.org/wiki/Kim_Ji-mee
Кузовлев Валерий Петрович,"https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D0%BE%D0%B2%D0%BB%D0%B5%D0%B2,_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87"
Пейдж Род,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%B9%D0%B4%D0%B6,_%D0%A0%D0%BE%D0%B4"
Пикар Беатрис,https://fr.wikipedia.org/wiki/B%C3%A9atrice_Picard
Пинту Коррея Клара,"https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D0%BD%D1%82%D1%83_%D0%9A%D0%BE%D1%80%D1%80%D0%B5%D1%8F,_%D0%9A%D0%BB%D0%B0%D1%80%D0%B0"
Родригес Пабло,"https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B4%D1%80%D0%B8%D0%B3%D0%B5%D1%81,_%D0%9F%D0%B0%D0%B1%D0%BB%D0%BE"
